year,period,periodName,date,series,value,md_rate,mn_rate
2021,M12,December,2021-12-01,ldr,0.9,1.25,1.2
2021,M12,December,2021-12-01,ql,4355,3312.5,3289.8
2021,M12,December,2021-12-01,qr,2.9,2.25,2.24
2021,M12,December,2021-12-01,hl,6632,5569,5627.2
2021,M12,December,2021-12-01,hr,4.4,3.9,3.85
2021,M12,December,2021-12-01,tsl,6131,5401.5,5382.7
2021,M12,December,2021-12-01,tsr,4.1,3.7,3.68
2021,M12,December,2021-12-01,jol,11826,6522.5,7150.8
2021,M12,December,2021-12-01,jor,7.3,4.15,4.6
2021,M11,November,2021-11-01,ldl,1345,1749,1732.3
2021,M11,November,2021-11-01,ldr,0.9,1.2,1.19
2021,M11,November,2021-11-01,ql,4501,3219.5,3303.9
2021,M11,November,2021-11-01,qr,3,2.25,2.25
2021,M11,November,2021-11-01,hl,6843,5660,5645.6
2021,M11,November,2021-11-01,hr,4.6,3.8499999999999996,3.88
2021,M11,November,2021-11-01,tsl,6227,5478.5,5391.7
2021,M11,November,2021-11-01,tsr,4.2,3.6500000000000004,3.69
2021,M11,November,2021-11-01,jol,11232,6573,7027.8
2021,M11,November,2021-11-01,jor,7,4.25,4.54
2021,M10,October,2021-10-01,ldl,1343,1760.5,1705.8
2021,M10,October,2021-10-01,ldr,0.9,1.2,1.16
2021,M10,October,2021-10-01,ql,4189,3261.5,3261.9
2021,M10,October,2021-10-01,qr,2.8,2.25,2.2199999999999998
2021,M10,October,2021-10-01,hl,6667,5693,5643.6
2021,M10,October,2021-10-01,hr,4.5,3.8,3.87
2021,M10,October,2021-10-01,tsl,5927,5379.5,5318.1
2021,M10,October,2021-10-01,tsr,4,3.7,3.64
2021,M10,October,2021-10-01,jol,11368,6614,7029.4
2021,M10,October,2021-10-01,jor,7.1,4.4,4.57
2021,M09,September,2021-09-01,ldl,1408,1741,1708.6
2021,M09,September,2021-09-01,ldr,1,1.2,1.18
2021,M09,September,2021-09-01,ql,4307,3181.5,3242
2021,M09,September,2021-09-01,qr,2.9,2.2,2.23
2021,M09,September,2021-09-01,hl,6629,5537.5,5632
2021,M09,September,2021-09-01,hr,4.5,3.75,3.88
2021,M09,September,2021-09-01,tsl,6067,5203.5,5297.4
2021,M09,September,2021-09-01,tsr,4.1,3.6,3.64
2021,M09,September,2021-09-01,jol,10882,6416,6953.7
2021,M09,September,2021-09-01,jor,6.9,4.25,4.51
2021,M08,August,2021-08-01,ldl,1338,1773,1714.2727272727273
2021,M08,August,2021-08-01,ldr,0.9,1.2,1.1727272727272728
2021,M08,August,2021-08-01,ql,4126,3103,3250.6363636363635
2021,M08,August,2021-08-01,qr,2.8,2.1,2.209090909090909
2021,M08,August,2021-08-01,hl,6415,5815,5633.272727272727
